x;y
-233;725
-16;-73
339;636
534;127
-791;-596
747;-92
-265;-910
591;746
459;26
624;-980
-257;-823
386;336
928;-798
-776;161
513;-72
405;-315
-294;-239
572;-258
354;9
-504;-715
668;-380
-889;53
-694;-268
529;808
-543;56
-391;-973
460;33
-471;-487
645;-384
169;966
635;-524
741;-479
488;167
717;619
-434;233
184;940
669;40
960;236
763;-764
-409;-206
468;-306
-971;-322
-97;-37
-562;149
-934;-767
-777;979
-217;-563
372;-755
129;-858
-965;-900
61;-696
-961;701
-137;-763
-68;12
-345;-552
485;94
-354;-994
946;333
-1;713
-477;852
45;434
-851;277
58;-37
449;-841
215;-473
672;439
754;-897
-314;-348
207;0
478;-577
292;-967
6;883
-259;-495
-328;-309
714;79
-712;-49
-987;649
45;-151
-135;-422
168;-872
-78;788
-436;277
-315;-398
379;538
-451;-773
556;471
-17;74
627;239
818;-588
-424;164
175;354
611;216
-269;416
488;150
802;-379
-552;467
535;-246
-490;-325
-954;-835
-243;-248
689;285
-587;-631
242;-741
835;-629
898;-598
-103;-866
962;934
-683;159
994;-416
868;509
353;-411
392;-821
682;-458
489;252
-426;272
685;-574
-66;420
883;731
-395;-818
-593;50
-941;-559
-115;1000
-494;-498
-122;34
-766;237
490;-926
-939;-900
404;-278
-46;867
494;571
266;476
-50;-958
-468;-42
932;318
-563;-995
-948;111
538;79
-101;88
916;-673
688;862
428;380
-78;-324
755;-228
-910;198
-296;374
363;-449
-516;462
509;-793
-290;804
-946;-879
-450;757
474;-725
-472;663
-90;-326
-939;-394
-583;440
947;362
307;231
-1000;832
-196;-299
-341;786
476;239
268;402
-940;874
627;534
138;-726
80;418
-708;-159
-476;822
172;-117
-160;-943
-157;685
531;482
71;-450
-443;-906
-289;-912
373;901
665;-509
73;-139
-855;-245
422;-796
111;930
-223;16
373;720
-606;761
955;-715
507;-797
-166;672
-539;-133
-984;-876
